date,time,X0000(入力1),X0001(入力2),D0000(ワーク1),D0001(ワーク2),D0002(ワーク3),D0003(ワーク4),D0004(ワーク5)
2024/05/16,17:37:44,0,0,-1,2454,0,0,0
2024/05/16,17:37:47,0,0,-1,527,0,0,0
2024/05/16,17:37:49,0,0,1,1422,0,0,0
2024/05/16,17:37:52,0,0,1,3371,0,0,0
2024/05/16,17:37:55,0,0,-1,2805,0,0,0
2024/05/16,17:37:57,0,0,-1,841,0,0,0
2024/05/16,17:38:00,0,0,1,1101,0,0,0
2024/05/16,17:38:02,0,0,1,3028,0,0,0
2024/05/16,17:38:05,0,0,-1,3126,0,0,0
2024/05/16,17:38:07,0,0,-1,1185,0,0,0
2024/05/16,17:38:10,0,0,1,776,0,0,0
2024/05/16,17:38:13,0,0,1,2689,0,0,0
2024/05/16,17:38:15,0,0,-1,3495,0,0,0
2024/05/16,17:38:18,0,0,-1,1515,0,0,0
2024/05/16,17:38:20,0,0,1,415,0,0,0
2024/05/16,17:38:23,0,0,1,2346,0,0,0
2024/05/16,17:38:25,0,0,-1,3806,0,0,0
2024/05/16,17:38:28,0,0,-1,1881,0,0,0
2024/05/16,17:38:31,0,0,1,51,0,0,0
2024/05/16,17:38:33,0,0,1,1990,0,0,0
2024/05/16,17:38:36,0,0,1,3919,0,0,0
2024/05/16,17:38:38,0,0,-1,2232,0,0,0
2024/05/16,17:38:41,0,0,-1,316,0,0,0
2024/05/16,17:38:43,0,0,1,1616,0,0,0
2024/05/16,17:38:46,0,0,1,3565,0,0,0
2024/05/16,17:38:49,0,0,-1,2608,0,0,0
2024/05/16,17:38:51,0,0,-1,708,0,0,0
2024/05/16,17:38:54,0,0,1,1193,0,0,0
2024/05/16,17:38:56,0,0,1,3090,0,0,0
2024/05/16,17:38:59,0,0,-1,3134,0,0,0
2024/05/16,17:39:01,0,0,-1,1215,0,0,0
2024/05/16,17:39:04,0,0,1,695,0,0,0
2024/05/16,17:39:07,0,0,1,2612,0,0,0
2024/05/16,17:39:09,0,0,-1,3584,0,0,0
2024/05/16,17:39:12,0,0,-1,1689,0,0,0
2024/05/16,17:39:14,0,0,1,218,0,0,0
2024/05/16,17:39:17,0,0,1,2111,0,0,0
